NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
What costs are we stretching out for intangibles?,Amortization,Amortization,0.8117
What expenses are we tracking but haven’t paid yet?,Accruals,Accruals,0.7948
Do we have unpaid bills recorded for this month?,Accruals,Accruals,0.7547
Are we prepared for unexpected costs like lawsuits?,Provisions,Provisions,0.7772
Do we have enough saved for future expenses?,Provisions,Provisions,0.8024
Could we face debts from unresolved legal issues?,Contingent Liabilities,Contingent Liabilities,0.6954
Are there potential liabilities from future events?,Contingent Liabilities,Contingent Liabilities,0.894
How does our profit after production compare to others?,Net Profit Margin,Net Profit Margin,0.7978
What’s our profit margin after making goods in Q2?,Net Profit Margin,Net Profit Margin,0.829
Are our assets producing good profits this quarter?,Return on Assets (ROA),Return on Assets (ROA),0.816
How much are our assets earning us in 2025?,Return on Assets (ROA),Current Assets,0.3107
What’s the payback for investors this year?,Return on Equity (ROE),Return on Equity (ROE),0.7946
How much are shareholders earning in Q2 2025?,Return on Equity (ROE),Return on Equity (ROE),0.7713
Are we getting good returns on our capital?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8281
Is our capital working hard to make profits?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8172
What’s our profit share before taxes in Q1 2025?,EBITDA Margin,Operating Profit (EBIT),0.3163
How much of revenue is profit before depreciation?,EBITDA Margin,Operating Profit (EBIT),0.3461
Can we handle short-term debts without issues?,Current Ratio,Current Ratio,0.7908
Are we good for bills due in the next year?,Current Ratio,Provisions,0.5991
Can we pay debts without selling our stockpile?,Quick Ratio (Acid Test),Non-Current Liabilities,0.2918
Do we have enough without inventory for debts?,Quick Ratio (Acid Test),Inventories,0.3119
Is our cash enough for immediate bills?,Cash Ratio,Current Assets,0.302
Can we cover urgent expenses with cash on hand?,Cash Ratio,Provisions,0.3021
How fast are we selling our stock this quarter?,Inventory Turnover,Inventory Turnover,0.7988
Are we clearing inventory quickly in 2025?,Inventory Turnover,Inventory Turnover,0.3197
Are clients paying us faster than last month?,Receivables Turnover,Receivables Turnover,0.7452
How quick are customer payments this year?,Receivables Turnover,Receivables Turnover,0.7518
Are we paying vendors on time this month?,Payables Turnover,Payables Turnover,0.7601
How often are we settling supplier bills in Q2?,Payables Turnover,Payables Turnover,0.7607
Are we using assets efficiently for sales?,Asset Turnover,Asset Turnover,0.8564
Do our assets generate strong revenue?,Asset Turnover,Asset Turnover,0.8059
Is our working capital driving enough sales?,Working Capital Turnover,Working Capital Turnover,0.8138
Are we getting sales from short-term resources?,Working Capital Turnover,Current Ratio,0.3271
Are our debts higher than our equity?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8257
Do we owe more than shareholders’ stake?,Debt-to-Equity Ratio,Equity,0.337
How much of our stuff is funded by loans?,Debt Ratio,Debt Ratio,0.7924
What portion of assets comes from borrowing?,Debt Ratio,Debt Ratio,0.8418
Can we cover loan interest with our profits?,Interest Coverage Ratio,Interest Coverage Ratio,0.8058
Are we okay with interest payments this quarter?,Interest Coverage Ratio,Interest Coverage Ratio,0.7995
How much of our company do owners control?,Equity Ratio,Equity,0.331
What share of assets is from shareholders?,Equity Ratio,Equity Ratio,0.8253
What’s the debt-to-equity balance in our funding?,Capital Gearing Ratio,Capital Gearing Ratio,0.8216
How does our debt compare to our own funds?,Capital Gearing Ratio,Capital Gearing Ratio,0.7858
How much profit per share did we make in May?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.7989
What’s the per-share earning for Q2 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8024
Is our stock price high compared to profits?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.7889
Are we overvalued based on our earnings?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.8116
Does our stock price reflect our real value?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.7943
Is our stock in line with our net assets?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.8074
What’s the dividend return for investors in Q2?,Dividend Yield,Dividend Yield,0.8405
How much are dividends paying out this year?,Dividend Yield,Dividend Yield,0.8186
How much of profits are we sharing as dividends?,Dividend Payout Ratio,Dividend Payout Ratio,0.8634
What portion of earnings goes to shareholders?,Dividend Payout Ratio,Dividend Payout Ratio,0.8477
What’s our company worth with all debts included?,Enterprise Value (EV),Enterprise Value (EV),0.7937
How much is the business valued at today?,Enterprise Value (EV),Enterprise Value (EV),0.7825
How does our value compare to core profits?,EV/EBITDA,EV/EBITDA,0.8031
What’s our worth relative to earnings before taxes?,EV/EBITDA,EV/EBITDA,0.8155
What’s the value of our equipment and buildings?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.8108
How much are our physical assets worth in Q2?,"Property, Plant and Equipment (PPE)",Assets,0.321
What’s the worth of our patents and software?,Intangible Assets,Intangible Assets,0.7909
How much value is in our non-physical assets?,Intangible Assets,Intangible Assets,0.8586
What’s the value of properties we rent out?,Investment Property,Investment Property,0.8242
How much are our rental properties worth?,Investment Property,Investment Property,0.8158
How much is tied up in our stocks or bonds?,Financial Assets,Financial Assets,0.7796
What’s the worth of our financial investments?,Financial Assets,Financial Assets,0.8294
What’s the total value of our unsold stock?,Inventories,EV/EBITDA,0.2906
How much are our products in storage worth?,Inventories,Inventories,0.8003
Can we save taxes from past business losses?,Deferred Tax Assets,Deferred Tax Assets,0.7957
Are there tax benefits we can use later?,Deferred Tax Assets,Deferred Tax Assets,0.8562
What’s the total of our bank loans?,Borrowings,Borrowings,0.8083
How much do we owe on loans this quarter?,Borrowings,Borrowings,0.331
How much do we owe suppliers this month?,Trade Payables,Trade Payables,0.8167
What’s the balance for vendor payments in Q2?,Trade Payables,Trade Payables,0.8032
Are we saving enough for future employee costs?,Provisions,Provisions,0.7815
Do we have funds for upcoming obligations?,Provisions,Provisions,0.8352
What taxes are we deferring to later years?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.8337
Are there future tax bills we’re holding off?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.7947
What other debts do we have besides loans?,Other Financial Liabilities,Other Financial Liabilities,0.8438
Are there non-loan debts we’re responsible for?,Other Financial Liabilities,Other Financial Liabilities,0.8294
How much cash came from issuing shares?,Share Capital,Share Capital,0.8492
What’s the total from shareholder investments?,Share Capital,Share Capital,0.8149
What’s the sum of profits we’ve saved up?,Other Equity / Reserves & Surplus,Net Profit (PAT),0.3121
How much have we kept from past profits?,Other Equity / Reserves & Surplus,Operating Profit (EBIT),0.289
Did our sales beat last year’s numbers for Q1?,Revenue,Revenue,0.7551
How much more did we earn from sales this month?,Revenue,Revenue,0.7875
Are production costs higher than last quarter?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.7717
What’s the cost of making our goods this year?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.8017
How’s our profit after production trending in 2025?,Gross Profit,Gross Profit,0.3191
What did we keep after making products in May?,Gross Profit,Inventories,0.268
Are we overspending on daily operations this month?,Operating Expenses,Operating Expenses,0.3164
How much are we spending to keep things running?,Operating Expenses,Operating Expenses,0.8017
What’s our profit from operations in Q2 2025?,Operating Profit (EBIT),Operating Profit (EBIT),0.7795
How much did we earn before taxes in May?,Operating Profit (EBIT),Operating Profit (EBIT),0.7906
What’s our profit before write-offs this quarter?,EBITDA,EBITDA,0.7891
How much are we earning before depreciation in Q2?,EBITDA,EBITDA,0.7995
What’s our final profit after all costs this month?,Net Profit (PAT),Net Profit (PAT),0.8023
How much did we clear after expenses in Q1?,Net Profit (PAT),Net Profit (PAT),0.7705
How much profit is each share making in June?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8209
What’s the per-share profit for this quarter?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8246
How much cash did we generate from operations in Q1?,Operating Cash Flow,Operating Cash Flow,0.8255
What’s the cash flow from our business this month?,Operating Cash Flow,Operating Cash Flow,0.7977
What did we spend on new assets in Q2 2025?,Investing Cash Flow,Investing Cash Flow,0.7844
How much went to investments this quarter?,Investing Cash Flow,Investing Cash Flow,0.8053
Did we get cash from loans or shares in May?,Financing Cash Flow,Financing Cash Flow,0.8247
Any financing cash raised this month?,Financing Cash Flow,Financing Cash Flow,0.8036
How much cash remains after buying equipment?,Free Cash Flow,Investing Cash Flow,0.3133
What’s our free cash flow for Q2 2025?,Free Cash Flow,Free Cash Flow,0.8166
What’s the depreciation on our machines this year?,Depreciation,Depreciation,0.8281
How much are we writing off for assets in June?,Depreciation,Current Assets,0.305
Are we spreading costs for software this quarter?,Amortization,Provisions,0.2699
What costs are we stretching for intangibles?,Amortization,Amortization,0.8093
What bills are we holding off this month?,Accruals,Accruals,0.7326
Are there unpaid expenses logged for Q2?,Accruals,Accruals,0.7886
Are we prepared for unexpected costs in 2025?,Provisions,Provisions,0.7794
Do we have enough saved for future liabilities?,Provisions,Provisions,0.843
Could we owe money from legal disputes?,Contingent Liabilities,Liabilities,0.2985
Are there debts tied to future risks?,Contingent Liabilities,Contingent Liabilities,0.8533
How’s our profit margin after production in Q1?,Net Profit Margin,Net Profit Margin,0.8187
What’s our profitability after making goods?,Net Profit Margin,Net Profit Margin,0.8166
Are our assets earning strong profits?,Return on Assets (ROA),Return on Assets (ROA),0.8377
How much profit do our assets generate this year?,Return on Assets (ROA),Return on Assets (ROA),0.8263
What’s the return for shareholders in Q1 2025?,Return on Equity (ROE),Return on Equity (ROE),0.8006
How much are investors earning this month?,Return on Equity (ROE),Return on Equity (ROE),0.7515
Are we using capital efficiently for profits?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8368
Is our capital producing good returns?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8256
What’s our profit percentage before taxes in Q2?,EBITDA Margin,Net Profit Margin,0.7859
How much of sales is profit before write-offs?,EBITDA Margin,Operating Profit (EBIT),0.3524
Can we handle short-term debts comfortably?,Current Ratio,Current Ratio,0.8111
Are we okay for bills due in the next year?,Current Ratio,Current Liabilities,0.3353
Can we pay debts without our inventory?,Quick Ratio (Acid Test),Inventories,0.3014
Do we have enough without stock for debts?,Quick Ratio (Acid Test),Debt-to-Equity Ratio,0.295
Is our cash sufficient for urgent bills?,Cash Ratio,Current Assets,0.2922
Can we cover immediate expenses with cash?,Cash Ratio,Accruals,0.3131
How quickly are we selling inventory this year?,Inventory Turnover,Inventory Turnover,0.8606
Are we moving stock fast enough in Q2?,Inventory Turnover,Inventory Turnover,0.7835
Are we collecting client payments quickly?,Receivables Turnover,Receivables Turnover,0.8001
How fast are customers paying us in 2025?,Receivables Turnover,Payables Turnover,0.2865
Are we paying suppliers promptly this quarter?,Payables Turnover,Payables Turnover,0.7935
How often do we settle vendor bills?,Payables Turnover,Receivables Turnover,0.7481
Are our assets generating enough sales?,Asset Turnover,Asset Turnover,0.8056
Do our assets drive revenue efficiently?,Asset Turnover,Asset Turnover,0.8442
Is our short-term cash boosting sales?,Working Capital Turnover,Current Ratio,0.3095
Are we getting sales from working capital?,Working Capital Turnover,Working Capital,0.3543
Are our debts bigger than our equity?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8291
Do we owe more than our shareholders’ worth?,Debt-to-Equity Ratio,Equity,0.3275
How much of our assets are from loans?,Debt Ratio,Debt Ratio,0.8261
What portion of our stuff is borrowed?,Debt Ratio,Debt Ratio,0.7782
Can we cover interest with our earnings?,Interest Coverage Ratio,Interest Coverage Ratio,0.804
Are profits enough for loan interest?,Interest Coverage Ratio,Interest Coverage Ratio,0.7822
How much do shareholders own of the company?,Equity Ratio,Equity,0.3378
What share of assets is from owners?,Equity Ratio,Equity Ratio,0.8101
What’s the debt-to-equity mix in our funds?,Capital Gearing Ratio,Capital Gearing Ratio,0.8289
How does debt balance with our own money?,Capital Gearing Ratio,Capital Gearing Ratio,0.7741
Can you tell me what was the Assets last year?,Assets,Assets,0.8276
Give me the Assets figure for the last quarter.,Assets,Assets,0.7995
What was the total Assets this month?,Assets,Assets,0.8078
Can you share the Assets value for Q1 2025?,Assets,Assets,0.7919
How much were the Assets in May 2025?,Assets,Assets,0.7877
Can you tell me what was the Liabilities last year?,Liabilities,Liabilities,0.8285
Can you provide the Liabilities amount for the last quarter?,Liabilities,Liabilities,0.8223
What was the Liabilities total this month?,Liabilities,Liabilities,0.8342
Could you share the Liabilities for Q1 2025?,Liabilities,Liabilities,0.7944
How much were the Liabilities in May 2025?,Liabilities,Liabilities,0.7926
Can you tell me what was the Equity last year?,Equity,Equity,0.8257
Could you share the Equity for the last quarter?,Equity,Equity,0.8145
What was the Equity amount this month?,Equity,Equity,0.8265
Can you provide the Equity value for Q1 2025?,Equity,Equity,0.8054
How much was the Equity in May 2025?,Equity,Equity,0.7877
Can you tell me what was the Current Assets last year?,Current Assets,Current Assets,0.868
Tell me the value of Current Assets in the last quarter.,Current Assets,Current Assets,0.8364
What was the Current Assets total this month?,Current Assets,Current Assets,0.8339
Could you share the Current Assets for Q1 2025?,Current Assets,Current Assets,0.8511
How much were the Current Assets in May 2025?,Current Assets,Current Assets,0.8391
Can you tell me what was the Non-Current Assets last year?,Non-Current Assets,Non-Current Assets,0.8461
What was the Non-Current Assets in the last quarter?,Non-Current Assets,Non-Current Assets,0.8527
Can you provide the Non-Current Assets total this month?,Non-Current Assets,Non-Current Assets,0.8069
How much were the Non-Current Assets in Q1 2025?,Non-Current Assets,Non-Current Assets,0.8339
What was the Non-Current Assets value in May 2025?,Non-Current Assets,Non-Current Assets,0.8275
Can you tell me what was the Current Liabilities last year?,Current Liabilities,Current Liabilities,0.8793
I'd like to know the Current Liabilities from the last quarter.,Current Liabilities,Current Liabilities,0.8432
What was the Current Liabilities amount this month?,Current Liabilities,Current Liabilities,0.8508
Can you share the Current Liabilities for Q1 2025?,Current Liabilities,Current Liabilities,0.8596
How much were the Current Liabilities in May 2025?,Current Liabilities,Current Liabilities,0.8381
Can you tell me what was the Non-Current Liabilities last year?,Non-Current Liabilities,Non-Current Liabilities,0.8448
What was the Non-Current Liabilities in the last quarter?,Non-Current Liabilities,Non-Current Liabilities,0.8576
Can you provide the Non-Current Liabilities total this month?,Non-Current Liabilities,Non-Current Liabilities,0.8303
How much were the Non-Current Liabilities in Q1 2025?,Non-Current Liabilities,Non-Current Liabilities,0.8342
What was the Non-Current Liabilities value in May 2025?,Non-Current Liabilities,Non-Current Liabilities,0.8284
Can you tell me what was the Working Capital last year?,Working Capital,Working Capital,0.8422
Could you share the Working Capital for the last quarter?,Working Capital,Working Capital,0.836
What was the Working Capital amount this month?,Working Capital,Working Capital,0.8515
Can you provide the Working Capital value for Q1 2025?,Working Capital,Working Capital,0.8325
How much was the Working Capital in May 2025?,Working Capital,Working Capital,0.8181
Can you tell me what was the Net Worth last year?,Net Worth,Net Worth,0.8181
What was the Net Worth in the last quarter?,Net Worth,Net Worth,0.8316
Can you share the Net Worth total this month?,Net Worth,Net Worth,0.8363
How much was the Net Worth in Q1 2025?,Net Worth,Net Worth,0.8077
What was the Net Worth value in May 2025?,Net Worth,Net Worth,0.7988
Can you tell me what was the Revenue last year?,Revenue,Revenue,0.8158
Give me the Revenue figure for the last quarter.,Revenue,Revenue,0.8031
What was the Revenue total this month?,Revenue,Revenue,0.8216
Can you provide the Revenue amount for Q1 2025?,Revenue,Revenue,0.7967
How much was the Revenue in May 2025?,Revenue,Revenue,0.7838
Can you tell me what was the Cost of Goods Sold (COGS) last year?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.8558
Tell me the value of COGS in the last quarter.,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.8096
What was the COGS amount this month?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.815
Could you share the COGS for Q1 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.7565
How much was the COGS in May 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.8036
Can you tell me what was the Gross Profit last year?,Gross Profit,Gross Profit,0.8126
Could you share the Gross Profit for the last quarter?,Gross Profit,Gross Profit,0.823
What was the Gross Profit total this month?,Gross Profit,Gross Profit,0.8292
