NL_Query,GT_Glossary
What’s our profit percentage before taxes this month?,EBITDA Margin
How much of sales is profit before depreciation in Q2?,EBITDA Margin
Can we cover short-term bills easily right now?,Current Ratio
Do we have enough to pay debts due soon?,Current Ratio
Can we pay off debts without selling our stock?,Quick Ratio (Acid Test)
Are we liquid enough without inventory for short-term bills?,Quick Ratio (Acid Test)
Do we have enough cash for bills due immediately?,Cash Ratio
Can we handle urgent bills with our cash on hand?,Cash Ratio
How fast are we selling our inventory this month?,Inventory Turnover
Are we moving our stock quickly enough in Q2?,Inventory Turnover
Are customers paying us faster than in Q1 2025?,Receivables Turnover
How quick are we collecting payments this quarter?,Receivables Turnover
How often are we paying suppliers this month?,Payables Turnover
Are we settling vendor bills on time in 2025?,Payables Turnover
Are our assets driving enough sales this year?,Asset Turnover
How well are we using our stuff to boost revenue?,Asset Turnover
Is our short-term cash fueling sales effectively?,Working Capital Turnover
Are we getting good sales from our working capital?,Working Capital Turnover
Do we owe more than our company’s worth to shareholders?,Debt-to-Equity Ratio
Are our debts higher than our equity this quarter?,Debt-to-Equity Ratio
How much of our assets are paid for with loans?,Debt Ratio
What portion of our stuff is funded by borrowing?,Debt Ratio
Can we cover our loan interest without stress?,Interest Coverage Ratio
Are our profits enough to handle interest payments?,Interest Coverage Ratio
How much of the company belongs to shareholders?,Equity Ratio
What share of our assets comes from owners’ funds?,Equity Ratio
What’s the balance of loans versus our own money?,Capital Gearing Ratio
How much debt do we have compared to equity?,Capital Gearing Ratio
How much profit is each share making this year?,Earnings Per Share (EPS)
What’s the per-share profit for investors in Q2?,Earnings Per Share (EPS)
Is our stock price too high for our earnings?,Price-to-Earnings (P/E) Ratio
Are investors overpaying for our stock based on profits?,Price-to-Earnings (P/E) Ratio
Does our stock value match our actual worth?,Price-to-Book (P/B) Ratio
Is our stock price in line with our net assets?,Price-to-Book (P/B) Ratio
What’s the dividend return for investors right now?,Dividend Yield
How much are we paying out in dividends to shareholders?,Dividend Yield
How much of our profits are we giving as dividends?,Dividend Payout Ratio
What share of earnings goes to dividend payments?,Dividend Payout Ratio
"What’s our company’s total worth, including debts?",Enterprise Value (EV)
How much is the business valued at with all debts?,Enterprise Value (EV)
How does our value compare to profits before taxes?,EV/EBITDA
What’s our company worth relative to core earnings?,EV/EBITDA
What’s the value of our factories and machines today?,"Property, Plant and Equipment (PPE)"
How much are our physical assets worth right now?,"Property, Plant and Equipment (PPE)"
How much are our patents and brands valued at?,Intangible Assets
What’s the worth of our non-physical assets like software?,Intangible Assets
What’s the value of our rental properties?,Investment Property
How much are our properties for rent or sale worth?,Investment Property
How much do we have in stocks or bonds?,Financial Assets
What’s the value of our financial investments today?,Financial Assets
What’s the worth of our unsold products in stock?,Inventories
How much value is tied up in our inventory?,Inventories
Can we save on taxes later from past losses?,Deferred Tax Assets
Are there tax benefits we can claim in the future?,Deferred Tax Assets
How much have we borrowed from banks overall?,Borrowings
What’s the total of our outstanding loans?,Borrowings
What do we owe suppliers for materials this month?,Trade Payables
How much are we behind on vendor payments?,Trade Payables
Are we setting aside enough for employee benefits?,Provisions
Do we have funds reserved for future liabilities?,Provisions
What taxes might we owe down the line?,Deferred Tax Liabilities
Are there future tax payments we’re deferring?,Deferred Tax Liabilities
What other debts do we have besides loans?,Other Financial Liabilities
Are there any non-loan debts we’re carrying?,Other Financial Liabilities
How much did shareholders invest in the company?,Share Capital
What’s the total cash from issuing shares?,Share Capital
What’s the total of profits we’ve kept over time?,Other Equity / Reserves & Surplus
How much have we saved from past earnings?,Other Equity / Reserves & Surplus
How’s our sales revenue looking compared to Q1 2025?,Revenue
Did we make more from sales this month than last June?,Revenue
What’s the cost trend for producing our goods in 2025?,Cost of Goods Sold (COGS)
Did it cost more to make products in May 2025?,Cost of Goods Sold (COGS)
How much profit did we keep after production in Q1?,Gross Profit
What’s left after covering production costs this year?,Gross Profit
Are we overspending on salaries and utilities?,Operating Expenses
How much are we burning through on daily operations?,Operating Expenses
What did we earn from operations in Q1 2025?,Operating Profit (EBIT)
How’s our core profit before interest this month?,Operating Profit (EBIT)
What’s our profit before taxes and write-offs in Q2?,EBITDA
How much are we earning before depreciation this year?,EBITDA
How much profit did we clear after all costs in May?,Net Profit (PAT)
What’s our bottom line for Q2 2025?,Net Profit (PAT)
How much is each share earning this month?,Earnings Per Share (EPS)
What’s the profit per share in the first half of 2025?,Earnings Per Share (EPS)
How much cash flowed from operations in June 2025?,Operating Cash Flow
What’s the cash from our business activities this quarter?,Operating Cash Flow
What did we spend on investments in May 2025?,Investing Cash Flow
How much went to buying new assets this month?,Investing Cash Flow
Did we raise funds through financing in Q2 2025?,Financing Cash Flow
Any cash from loans or shares this quarter?,Financing Cash Flow
How much cash is left after equipment buys in June?,Free Cash Flow
What’s our free cash after capital expenses this month?,Free Cash Flow
What’s the write-off for our gear this quarter?,Depreciation
How much are we depreciating our assets in 2025?,Depreciation
Are we spreading costs for trademarks over time?,Amortization
What costs are we stretching out for intangibles?,Amortization
What expenses are we tracking but haven’t paid yet?,Accruals
Do we have unpaid bills recorded for this month?,Accruals
Are we prepared for unexpected costs like lawsuits?,Provisions
Do we have enough saved for future expenses?,Provisions
Could we face debts from unresolved legal issues?,Contingent Liabilities
Are there potential liabilities from future events?,Contingent Liabilities
How does our profit after production compare to others?,Net Profit Margin
What’s our profit margin after making goods in Q2?,Net Profit Margin
Are our assets producing good profits this quarter?,Return on Assets (ROA)
How much are our assets earning us in 2025?,Return on Assets (ROA)
What’s the payback for investors this year?,Return on Equity (ROE)
How much are shareholders earning in Q2 2025?,Return on Equity (ROE)
Are we getting good returns on our capital?,Return on Capital Employed (ROCE)
Is our capital working hard to make profits?,Return on Capital Employed (ROCE)
What’s our profit share before taxes in Q1 2025?,EBITDA Margin
How much of revenue is profit before depreciation?,EBITDA Margin
Can we handle short-term debts without issues?,Current Ratio
Are we good for bills due in the next year?,Current Ratio
Can we pay debts without selling our stockpile?,Quick Ratio (Acid Test)
Do we have enough without inventory for debts?,Quick Ratio (Acid Test)
Is our cash enough for immediate bills?,Cash Ratio
Can we cover urgent expenses with cash on hand?,Cash Ratio
How fast are we selling our stock this quarter?,Inventory Turnover
Are we clearing inventory quickly in 2025?,Inventory Turnover
Are clients paying us faster than last month?,Receivables Turnover
How quick are customer payments this year?,Receivables Turnover
Are we paying vendors on time this month?,Payables Turnover
How often are we settling supplier bills in Q2?,Payables Turnover
Are we using assets efficiently for sales?,Asset Turnover
Do our assets generate strong revenue?,Asset Turnover
Is our working capital driving enough sales?,Working Capital Turnover
Are we getting sales from short-term resources?,Working Capital Turnover
Are our debts higher than our equity?,Debt-to-Equity Ratio
Do we owe more than shareholders’ stake?,Debt-to-Equity Ratio
How much of our stuff is funded by loans?,Debt Ratio
What portion of assets comes from borrowing?,Debt Ratio
Can we cover loan interest with our profits?,Interest Coverage Ratio
Are we okay with interest payments this quarter?,Interest Coverage Ratio
How much of our company do owners control?,Equity Ratio
What share of assets is from shareholders?,Equity Ratio
What’s the debt-to-equity balance in our funding?,Capital Gearing Ratio
How does our debt compare to our own funds?,Capital Gearing Ratio
How much profit per share did we make in May?,Earnings Per Share (EPS)
What’s the per-share earning for Q2 2025?,Earnings Per Share (EPS)
Is our stock price high compared to profits?,Price-to-Earnings (P/E) Ratio
Are we overvalued based on our earnings?,Price-to-Earnings (P/E) Ratio
Does our stock price reflect our real value?,Price-to-Book (P/B) Ratio
Is our stock in line with our net assets?,Price-to-Book (P/B) Ratio
What’s the dividend return for investors in Q2?,Dividend Yield
How much are dividends paying out this year?,Dividend Yield
How much of profits are we sharing as dividends?,Dividend Payout Ratio
What portion of earnings goes to shareholders?,Dividend Payout Ratio
What’s our company worth with all debts included?,Enterprise Value (EV)
How much is the business valued at today?,Enterprise Value (EV)
How does our value compare to core profits?,EV/EBITDA
What’s our worth relative to earnings before taxes?,EV/EBITDA
What’s the value of our equipment and buildings?,"Property, Plant and Equipment (PPE)"
How much are our physical assets worth in Q2?,"Property, Plant and Equipment (PPE)"
What’s the worth of our patents and software?,Intangible Assets
How much value is in our non-physical assets?,Intangible Assets
What’s the value of properties we rent out?,Investment Property
How much are our rental properties worth?,Investment Property
How much is tied up in our stocks or bonds?,Financial Assets
What’s the worth of our financial investments?,Financial Assets
What’s the total value of our unsold stock?,Inventories
How much are our products in storage worth?,Inventories
Can we save taxes from past business losses?,Deferred Tax Assets
Are there tax benefits we can use later?,Deferred Tax Assets
What’s the total of our bank loans?,Borrowings
How much do we owe on loans this quarter?,Borrowings
How much do we owe suppliers this month?,Trade Payables
What’s the balance for vendor payments in Q2?,Trade Payables
Are we saving enough for future employee costs?,Provisions
Do we have funds for upcoming obligations?,Provisions
What taxes are we deferring to later years?,Deferred Tax Liabilities
Are there future tax bills we’re holding off?,Deferred Tax Liabilities
What other debts do we have besides loans?,Other Financial Liabilities
Are there non-loan debts we’re responsible for?,Other Financial Liabilities
How much cash came from issuing shares?,Share Capital
What’s the total from shareholder investments?,Share Capital
What’s the sum of profits we’ve saved up?,Other Equity / Reserves & Surplus
How much have we kept from past profits?,Other Equity / Reserves & Surplus
Did our sales beat last year’s numbers for Q1?,Revenue
How much more did we earn from sales this month?,Revenue
Are production costs higher than last quarter?,Cost of Goods Sold (COGS)
What’s the cost of making our goods this year?,Cost of Goods Sold (COGS)
How’s our profit after production trending in 2025?,Gross Profit
What did we keep after making products in May?,Gross Profit
Are we overspending on daily operations this month?,Operating Expenses
How much are we spending to keep things running?,Operating Expenses
What’s our profit from operations in Q2 2025?,Operating Profit (EBIT)
How much did we earn before taxes in May?,Operating Profit (EBIT)
What’s our profit before write-offs this quarter?,EBITDA
How much are we earning before depreciation in Q2?,EBITDA
What’s our final profit after all costs this month?,Net Profit (PAT)
How much did we clear after expenses in Q1?,Net Profit (PAT)
How much profit is each share making in June?,Earnings Per Share (EPS)
What’s the per-share profit for this quarter?,Earnings Per Share (EPS)
How much cash did we generate from operations in Q1?,Operating Cash Flow
What’s the cash flow from our business this month?,Operating Cash Flow
What did we spend on new assets in Q2 2025?,Investing Cash Flow
How much went to investments this quarter?,Investing Cash Flow
Did we get cash from loans or shares in May?,Financing Cash Flow
Any financing cash raised this month?,Financing Cash Flow
How much cash remains after buying equipment?,Free Cash Flow
What’s our free cash flow for Q2 2025?,Free Cash Flow
What’s the depreciation on our machines this year?,Depreciation
How much are we writing off for assets in June?,Depreciation
Are we spreading costs for software this quarter?,Amortization
What costs are we stretching for intangibles?,Amortization
What bills are we holding off this month?,Accruals
Are there unpaid expenses logged for Q2?,Accruals
Are we prepared for unexpected costs in 2025?,Provisions
Do we have enough saved for future liabilities?,Provisions
Could we owe money from legal disputes?,Contingent Liabilities
Are there debts tied to future risks?,Contingent Liabilities
How’s our profit margin after production in Q1?,Net Profit Margin
What’s our profitability after making goods?,Net Profit Margin
Are our assets earning strong profits?,Return on Assets (ROA)
How much profit do our assets generate this year?,Return on Assets (ROA)
What’s the return for shareholders in Q1 2025?,Return on Equity (ROE)
How much are investors earning this month?,Return on Equity (ROE)
Are we using capital efficiently for profits?,Return on Capital Employed (ROCE)
Is our capital producing good returns?,Return on Capital Employed (ROCE)
What’s our profit percentage before taxes in Q2?,EBITDA Margin
How much of sales is profit before write-offs?,EBITDA Margin
Can we handle short-term debts comfortably?,Current Ratio
Are we okay for bills due in the next year?,Current Ratio
Can we pay debts without our inventory?,Quick Ratio (Acid Test)
Do we have enough without stock for debts?,Quick Ratio (Acid Test)
Is our cash sufficient for urgent bills?,Cash Ratio
Can we cover immediate expenses with cash?,Cash Ratio
How quickly are we selling inventory this year?,Inventory Turnover
Are we moving stock fast enough in Q2?,Inventory Turnover
Are we collecting client payments quickly?,Receivables Turnover
How fast are customers paying us in 2025?,Receivables Turnover
Are we paying suppliers promptly this quarter?,Payables Turnover
How often do we settle vendor bills?,Payables Turnover
Are our assets generating enough sales?,Asset Turnover
Do our assets drive revenue efficiently?,Asset Turnover
Is our short-term cash boosting sales?,Working Capital Turnover
Are we getting sales from working capital?,Working Capital Turnover
Are our debts bigger than our equity?,Debt-to-Equity Ratio
Do we owe more than our shareholders’ worth?,Debt-to-Equity Ratio
How much of our assets are from loans?,Debt Ratio
What portion of our stuff is borrowed?,Debt Ratio
Can we cover interest with our earnings?,Interest Coverage Ratio
Are profits enough for loan interest?,Interest Coverage Ratio
How much do shareholders own of the company?,Equity Ratio
What share of assets is from owners?,Equity Ratio
What’s the debt-to-equity mix in our funds?,Capital Gearing Ratio
How does debt balance with our own money?,Capital Gearing Ratio
Can you tell me what was the Assets last year?,Assets
Give me the Assets figure for the last quarter.,Assets
What was the total Assets this month?,Assets
Can you share the Assets value for Q1 2025?,Assets
How much were the Assets in May 2025?,Assets
Can you tell me what was the Liabilities last year?,Liabilities
Can you provide the Liabilities amount for the last quarter?,Liabilities
What was the Liabilities total this month?,Liabilities
Could you share the Liabilities for Q1 2025?,Liabilities
How much were the Liabilities in May 2025?,Liabilities
Can you tell me what was the Equity last year?,Equity
Could you share the Equity for the last quarter?,Equity
What was the Equity amount this month?,Equity
Can you provide the Equity value for Q1 2025?,Equity
How much was the Equity in May 2025?,Equity
Can you tell me what was the Current Assets last year?,Current Assets
Tell me the value of Current Assets in the last quarter.,Current Assets
What was the Current Assets total this month?,Current Assets
Could you share the Current Assets for Q1 2025?,Current Assets
How much were the Current Assets in May 2025?,Current Assets
Can you tell me what was the Non-Current Assets last year?,Non-Current Assets
What was the Non-Current Assets in the last quarter?,Non-Current Assets
Can you provide the Non-Current Assets total this month?,Non-Current Assets
How much were the Non-Current Assets in Q1 2025?,Non-Current Assets
What was the Non-Current Assets value in May 2025?,Non-Current Assets
Can you tell me what was the Current Liabilities last year?,Current Liabilities
I'd like to know the Current Liabilities from the last quarter.,Current Liabilities
What was the Current Liabilities amount this month?,Current Liabilities
Can you share the Current Liabilities for Q1 2025?,Current Liabilities
How much were the Current Liabilities in May 2025?,Current Liabilities
Can you tell me what was the Non-Current Liabilities last year?,Non-Current Liabilities
What was the Non-Current Liabilities in the last quarter?,Non-Current Liabilities
Can you provide the Non-Current Liabilities total this month?,Non-Current Liabilities
How much were the Non-Current Liabilities in Q1 2025?,Non-Current Liabilities
What was the Non-Current Liabilities value in May 2025?,Non-Current Liabilities
Can you tell me what was the Working Capital last year?,Working Capital
Could you share the Working Capital for the last quarter?,Working Capital
What was the Working Capital amount this month?,Working Capital
Can you provide the Working Capital value for Q1 2025?,Working Capital
How much was the Working Capital in May 2025?,Working Capital
Can you tell me what was the Net Worth last year?,Net Worth
What was the Net Worth in the last quarter?,Net Worth
Can you share the Net Worth total this month?,Net Worth
How much was the Net Worth in Q1 2025?,Net Worth
What was the Net Worth value in May 2025?,Net Worth
Can you tell me what was the Revenue last year?,Revenue
Give me the Revenue figure for the last quarter.,Revenue
What was the Revenue total this month?,Revenue
Can you provide the Revenue amount for Q1 2025?,Revenue
How much was the Revenue in May 2025?,Revenue
Can you tell me what was the Cost of Goods Sold (COGS) last year?,Cost of Goods Sold (COGS)
Tell me the value of COGS in the last quarter.,Cost of Goods Sold (COGS)
What was the COGS amount this month?,Cost of Goods Sold (COGS)
Could you share the COGS for Q1 2025?,Cost of Goods Sold (COGS)
How much was the COGS in May 2025?,Cost of Goods Sold (COGS)
Can you tell me what was the Gross Profit last year?,Gross Profit
Could you share the Gross Profit for the last quarter?,Gross Profit
What was the Gross Profit total this month?,Gross Profit
Can you provide the Gross Profit value for Q1 2025?,Gross Profit
How much was the Gross Profit in May 2025?,Gross Profit
Can you tell me what was the Operating Expenses last year?,Operating Expenses
I'd like to know the Operating Expenses from the last quarter.,Operating Expenses
What was the Operating Expenses amount this month?,Operating Expenses
Can you share the Operating Expenses for Q1 2025?,Operating Expenses
How much were the Operating Expenses in May 2025?,Operating Expenses
Can you tell me what was the Operating Profit last year?,Operating Profit (EBIT)
I'd like to know the EBIT from the last quarter.,Operating Profit (EBIT)
What was the Operating Profit total this month?,Operating Profit (EBIT)
How much was the Operating Profit in Q1 2025?,Operating Profit (EBIT)
What was the EBIT value in May 2025?,Operating Profit (EBIT)
Can you tell me what was the EBITDA last year?,EBITDA
"Could you share the Earnings before Interest, Tax, Depreciation, and Amortisation for the last quarter?",EBITDA
What was the EBITDA amount this month?,EBITDA
Can you provide the EBITDA value for Q1 2025?,EBITDA
How much was the EBITDA in May 2025?,EBITDA
Can you tell me what was the Net Profit (PAT) last year?,Net Profit (PAT)
Can you provide the Net Profit (PAT) amount for the last quarter?,Net Profit (PAT)
What was the Net Profit total this month?,Net Profit (PAT)
How much was the Net Profit in Q1 2025?,Net Profit (PAT)
What was the Net Profit value in May 2025?,Net Profit (PAT)
Can you tell me what was the Earnings Per Share (EPS) last year?,Earnings Per Share (EPS)
How much was the EPS during the last quarter?,Earnings Per Share (EPS)
What was the EPS amount this month?,Earnings Per Share (EPS)
Can you share the EPS for Q1 2025?,Earnings Per Share (EPS)
How much was the EPS in May 2025?,Earnings Per Share (EPS)
Can you tell me what was the Operating Cash Flow last year?,Operating Cash Flow
Can you provide the Operating Cash Flow amount for the last quarter?,Operating Cash Flow
What was the Operating Cash Flow total this month?,Operating Cash Flow
How much was the Operating Cash Flow in Q1 2025?,Operating Cash Flow
What was the Operating Cash Flow value in May 2025?,Operating Cash Flow
Can you tell me what was the Investing Cash Flow last year?,Investing Cash Flow
Can you provide the Investing Cash Flow amount for the last quarter?,Investing Cash Flow
What was the Investing Cash Flow total this month?,Investing Cash Flow
Could you share the Investing Cash Flow for Q1 2025?,Investing Cash Flow
How much was the Investing Cash Flow in May 2025?,Investing Cash Flow
Can you tell me what was the Financing Cash Flow last year?,Financing Cash Flow
Can you provide the Financing Cash Flow amount for the last quarter?,Financing Cash Flow
What was the Financing Cash Flow total this month?,Financing Cash Flow
How much was the Financing Cash Flow in Q1 2025?,Financing Cash Flow
What was the Financing Cash Flow value in May 2025?,Financing Cash Flow
Can you tell me what was the Free Cash Flow last year?,Free Cash Flow
Tell me the value of Free Cash Flow in the last quarter.,Free Cash Flow
What was the Free Cash Flow amount this month?,Free Cash Flow
Can you share the Free Cash Flow for Q1 2025?,Free Cash Flow
How much was the Free Cash Flow in May 2025?,Free Cash Flow
Can you tell me what was the Depreciation last year?,Depreciation
Can you provide the Depreciation amount for the last quarter?,Depreciation
What was the Depreciation total this month?,Depreciation
How much was the Depreciation in Q1 2025?,Depreciation
What was the Depreciation value in May 2025?,Depreciation
Can you tell me what was the Amortization last year?,Amortization
Tell me the value of Amortization in the last quarter.,Amortization
What was the Amortization amount this month?,Amortization
Could you share the Amortization for Q1 2025?,Amortization
How much was the Amortization in May 2025?,Amortization
Can you tell me what was the Accruals last year?,Accruals
Could you share the Accruals for the last quarter?,Accruals
What was the Accruals total this month?,Accruals
Can you provide the Accruals value for Q1 2025?,Accruals
How much were the Accruals in May 2025?,Accruals
Can you tell me what was the Provisions last year?,Provisions
Tell me the value of Provisions in the last quarter.,Provisions
What was the Provisions amount this month?,Provisions
How much were the Provisions in Q1 2025?,Provisions
What was the Provisions value in May 2025?,Provisions
Can you tell me what was the Contingent Liabilities last year?,Contingent Liabilities
I'd like to know the Contingent Liabilities from the last quarter.,Contingent Liabilities
What was the Contingent Liabilities total this month?,Contingent Liabilities
Can you share the Contingent Liabilities for Q1 2025?,Contingent Liabilities
How much were the Contingent Liabilities in May 2025?,Contingent Liabilities
Can you tell me what was the Net Profit Margin last year?,Net Profit Margin
I'd like to know the Net Profit Margin from the last quarter.,Net Profit Margin
What was the Net Profit Margin total this month?,Net Profit Margin
Can you provide the Net Profit Margin value for Q1 2025?,Net Profit Margin
How much was the Net Profit Margin in May 2025?,Net Profit Margin
Can you tell me what was the Return on Assets (ROA) last year?,Return on Assets (ROA)
What was the ROA in the last quarter?,Return on Assets (ROA)
Can you share the ROA total this month?,Return on Assets (ROA)
How much was the ROA in Q1 2025?,Return on Assets (ROA)
What was the ROA value in May 2025?,Return on Assets (ROA)
Can you tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE)
Give me the ROE figure for the last quarter.,Return on Equity (ROE)
What was the ROE total this month?,Return on Equity (ROE)
Can you provide the ROE value for Q1 2025?,Return on Equity (ROE)
How much was the ROE in May 2025?,Return on Equity (ROE)
Can you tell me what was the Return on Capital Employed (ROCE) last year?,Return on Capital Employed (ROCE)
I'd like to know the ROCE from the last quarter.,Return on Capital Employed (ROCE)
What was the ROCE total this month?,Return on Capital Employed (ROCE)
How much was the ROCE in Q1 2025?,Return on Capital Employed (ROCE)
What was the ROCE value in May 2025?,Return on Capital Employed (ROCE)
Can you tell me what was the EBITDA Margin last year?,EBITDA Margin
I'd like to know the EBITDA Margin from the last quarter.,EBITDA Margin
Can you share the EBITDA Margin this month?,EBITDA Margin
Can you provide the EBITDA Margin value for Q1 2025?,EBITDA Margin
How much was the EBITDA Margin in May 2025?,EBITDA Margin
Can you tell me what was the Current Ratio last year?,Current Ratio
How much was the Current Ratio during the last quarter?,Current Ratio
What was the Current Ratio total this month?,Current Ratio
How much was the Current Ratio in Q1 2025?,Current Ratio
What was the Current Ratio value in May 2025?,Current Ratio
Can you tell me what was the Quick Ratio last year?,Quick Ratio (Acid Test)
Tell me the value of Quick Ratio (Acid Test) in the last quarter.,Quick Ratio (Acid Test)
What was the Quick Ratio total this month?,Quick Ratio (Acid Test)
Can you share the Quick Ratio for Q1 2025?,Quick Ratio (Acid Test)
How much was the Quick Ratio in May 2025?,Quick Ratio (Acid Test)
Can you tell me what was the Cash Ratio last year?,Cash Ratio
I'd like to know the Cash Ratio from the last quarter.,Cash Ratio
What was the Cash Ratio total this month?,Cash Ratio
Can you provide the Cash Ratio value for Q1 2025?,Cash Ratio
How much was the Cash Ratio in May 2025?,Cash Ratio
Can you tell me what was the Inventory Turnover last year?,Inventory Turnover
Tell me the value of Inventory Turnover in the last quarter.,Inventory Turnover
What was the Inventory Turnover total this month?,Inventory Turnover
How much was the Inventory Turnover in Q1 2025?,Inventory Turnover
What was the Inventory Turnover value in May 2025?,Inventory Turnover
Can you tell me what was the Receivables Turnover last year?,Receivables Turnover
I'd like to know the Receivables Turnover from the last quarter.,Receivables Turnover
Can you share the Receivables Turnover this month?,Receivables Turnover
Can you provide the Receivables Turnover value for Q1 2025?,Receivables Turnover
How much was the Receivables Turnover in May 2025?,Receivables Turnover
Can you tell me what was the Payables Turnover last year?,Payables Turnover
Give me the Payables Turnover figure for the last quarter.,Payables Turnover
What was the Payables Turnover total this month?,Payables Turnover
How much was the Payables Turnover in Q1 2025?,Payables Turnover
What was the Payables Turnover value in May 2025?,Payables Turnover
Can you tell me what was the Asset Turnover last year?,Asset Turnover
How much was the Asset Turnover during the last quarter?,Asset Turnover
What was the Asset Turnover total this month?,Asset Turnover
Can you share the Asset Turnover for Q1 2025?,Asset Turnover
How much was the Asset Turnover in May 2025?,Asset Turnover
Can you tell me what was the Working Capital Turnover last year?,Working Capital Turnover
I'd like to know the Working Capital Turnover from the last quarter.,Working Capital Turnover
Can you provide the Working Capital Turnover value this month?,Working Capital Turnover
How much was the Working Capital Turnover in Q1 2025?,Working Capital Turnover
What was the Working Capital Turnover value in May 2025?,Working Capital Turnover
Can you tell me what was the Debt-to-Equity Ratio last year?,Debt-to-Equity Ratio
Give me the D/E Ratio figure for the last quarter.,Debt-to-Equity Ratio
What was the Debt-to-Equity Ratio total this month?,Debt-to-Equity Ratio
Can you share the Debt-to-Equity Ratio for Q1 2025?,Debt-to-Equity Ratio
How much was the Debt-to-Equity Ratio in May 2025?,Debt-to-Equity Ratio
Can you tell me what was the Debt Ratio last year?,Debt Ratio
How much was the Debt Ratio during the last quarter?,Debt Ratio
What was the Debt Ratio total this month?,Debt Ratio
Can you provide the Debt Ratio value for Q1 2025?,Debt Ratio
How much was the Debt Ratio in May 2025?,Debt Ratio
Can you tell me what was the Interest Coverage Ratio last year?,Interest Coverage Ratio
Give me the Interest Coverage Ratio figure for the last quarter.,Interest Coverage Ratio
What was the Interest Coverage Ratio total this month?,Interest Coverage Ratio
How much was the Interest Coverage Ratio in Q1 2025?,Interest Coverage Ratio
What was the Interest Coverage Ratio value in May 2025?,Interest Coverage Ratio
Can you tell me what was the Equity Ratio last year?,Equity Ratio
Tell me the value of Equity Ratio in the last quarter.,Equity Ratio
What was the Equity Ratio total this month?,Equity Ratio
Can you share the Equity Ratio for Q1 2025?,Equity Ratio
How much was the Equity Ratio in May 2025?,Equity Ratio
Can you tell me what was the Capital Gearing Ratio last year?,Capital Gearing Ratio
Could you share the Capital Gearing Ratio for the last quarter?,Capital Gearing Ratio
What was the Capital Gearing Ratio total this month?,Capital Gearing Ratio
Can you provide the Capital Gearing Ratio value for Q1 2025?,Capital Gearing Ratio
How much was the Capital Gearing Ratio in May 2025?,Capital Gearing Ratio
Can you tell me what was the Price-to-Earnings (P/E) Ratio last year?,Price-to-Earnings (P/E) Ratio
Can you provide the P/E Ratio amount for the last quarter?,Price-to-Earnings (P/E) Ratio
What was the P/E Ratio total this month?,Price-to-Earnings (P/E) Ratio
How much was the P/E Ratio in Q1 2025?,Price-to-Earnings (P/E) Ratio
