NL_Query,Label
Are our assets earning strong profits?,0
Can you provide the PPE values for Q1 2025?,0
Are we good for bills due in the next year?,0
I want to know the Operating Expenses as of for FY 2019.,0
I want to know the Tell me Free Cash Flow in Q1 2025?,0
I want to know the How much was Contingent Liabilities in May 2025?,0
I want to know the Return on Capital Employed (ROCE) last year?,0
What was the EBITDA  for FY 2010?,0
Please provide the Depreciation amount for the last quarter?,0
Please provide the value for: What was the Liabilities total this month,0
How often do we settle vendor bills?,0
Please provide the value for: Can yu share Intangible Assets in Q1 2025,0
I want to know the Gimme Debt-to-Equity Ratio for last quater?,0
What did we keep after making products in May?,0
Please provide the value for: Could we owe money later depending on things like lawsuits,0
Please provide the value for: Could you tell me the Current Assets for the period for July 2025,0
I want to know the period for March 2020?,0
I want to know the Can we save on taxes later from past losses?,0
What’s our company worth relative to core earnings?,0
I want to know the period for FY 2015?,0
Can yu share EBITDA in Q1 2025?,0
Wat was Capital Gearing Ratio this month?,0
Do we have funds for upcoming obligations?,0
I want to know the PPE value for Q1 2025?,0
Please provide the value for: How much was the Gross Profit in May 2025,0
Please provide the value for: Can we cover urgent expenses with cash on hand,0
Please provide the value for: Can you share the EPS up to for First half 2016,0
Can you share the Price-to-Book Ratio for Q1 2025?,0
I want to know the Payables Turnover value in May 2025?,0
Please provide the value for: I want to know the Free Cash Flow  for Second half 2016,0
How much profit per share did we make in May?,0
I want to know the Operating Expenses to date for Q4 2014.,0
Can you provide the Financing Cash Flow amounts for the last quarter?,0
Please provide the value for: Can u pls tel me Financial Assets in Q1 2025,0
Can you share the Intangible Assets for Q1 2025?,0
I want to know the Non-Current Assets to date for May 2020.,0
Please provide the value for: What’s our profit before taxes and write-offs in Q2,0
Please provide the value for: Can you share the Assets for the period for February 2014,0
Please provide the value for: How much are we burning through on daily operations,0
Please provide the value for: What was the EBITDA for the period for FY 2017,0
I want to know the What share of assets is from shareholders?,0
Please provide the value for: Wat was Operating Expenses this month,0
Please provide the value for: What was the Depreciation value in May 2025,0
I want to know the Tell me Inventories in Q1 2025?,0
Please provide the value for: How much was PPE in May 2025,0
Please provide the value for: Wat was Equity Ratio this month,0
I want to know the stuff we sold last month?,0
Please provide the value for: Is our capital working hard to make profits,0
"Can you tell me what was the Property, Plant and Equipment (PPE) last year?",0
How much did each share earn last quarter?,0
How quick are we getting paid by customers?,0
Please provide the value for: Can u tell me Current Liabilities last yr,0
Please provide the value for: Could you share the Equity for the last quarter,0
I want to know the Are we clearing inventory quickly in 2025?,0
Please provide the value for: How much of the company really belongs to the owners,0
I want to know the Enterprise Value total this month?,0
Please provide the value for: How much was Financial Assets in May 2025,0
Please provide the value for: How much were the Current Assets in May 2025,0
Can you tell me what was the Financing Cash Flow last year?,0
Are we making smart use of our funds for profit?,0
What was the Working Capital Turnover values in May 2025?,0
Can yu share Other Financial Liabilities in Q1 2025?,0
Please provide the value for: Can you share the Equity cumulative through for First half 2012,0
I want to know the Gross Profit  for Q2 2014.,0
I want to know the Deferred Tax Assets in Q4 2024?,0
How much was Net Worth in May 2025?,0
I want to know the How much was Equity in May 2025?,0
I want to know the Tell me Payables Turnover in Q1 2025?,0
I want to know the Non-Current Liabilities so far for Q4 2015?,0
I want to know the Are we keeping up with supplier payments?,0
How much did we keep after everything last month?,0
What was the EV/EBITDA total this month?,0
How much do shareholders own of the company?,0
Can you tell me what was the Enterprise Value (EV) last year?,0
Please provide the value for: How much was Equity Ratio in May 2025,0
What was the Non-Current Assets values in May 2025?,0
I want to know the Operating Cash Flow last year?,0
Please provide the Working Capital value for Q1 2025?,0
Please provide the value for: Wat was Asset Turnover this month,0
Please I would like to receive the Current Liabilities  for First half 2017.,0
What’s the debt-to-equity balance in our funding?,0
How much was COGS in May 2025?,0
Can u tell me what was the Debt Ratio last year?,0
Please provide the value for: How much did our main operations earn us in the last quarter,0
Please I would like to receive the Operating Expenses  for Q1 2021.,0
I want to know the Contingent Liabilities total this month?,0
It is requested to provide the Current Assets last year?,0
I want to know the Operating Cash Flow  for Second half 2023?,0
How much was the Other Equity / Reserves & Surplus during the last quarter?,0
Can you provide the Gross Profit Margin amounts for the last quarter?,0
I want to know the re?,0
Could you tell me the Amortization for the period for Q1 2012?,0
What was the P/E Ratio total this month?,0
I want to know the Are profits enough for loan interest?,0
Wat was Deferred Tax Liabilities this month?,0
I want to know the Can u tell me Current Liabilities last yr?,0
I want to know the Are clients paying us faster than last month?,0
I want to know the Can we cover short-term bills easily right now?,0
Please provide the value for: Tell me Inventories in Q1 2025,0
Can you share the Contingent Liabilities for Q1 2025?,0
Please provide the value for: Can yu share Deferred Tax Assets in Q1 2025,0
Please provide the value for: What was the Current Assets  for Second half 2018,0
Please provide the value for: How much cash do we have for immediate bills,0
Can you pls tel me Current Ratio from last year?,0
I want to know the Inventories last quarter?,0
I want to know the How much was Revenue in May 2025?,0
I want to know the books but not paid today?,0
"I want to know the What’s our profit before taxes, interest, and equipment costs this month?",0
Can u pls tel me Receivables Turnover in Q1 2025?,0
Please provide the value for: What was the Non-Current Liabilities in the last quarter,0
I want to know the P/E Ratio value in May 2025?,0
Please provide the value for: How much was Other Equity in May 2025,0
How much was Inventories in May 2025?,0
What are we spending to keep the business running this year?,0
How much was the EV during the last quarter?,0
Please provide the value for: How much cash did our business operations bring in last month,0
What was the Equity year to date for FY 2019?,0
What did it cost us to make the stuff we sold last month?,0
I want to know the P/E Ratio in Q1 2025?,0
I want to know the period for FY 2017?,0
I want to know the Are we using assets efficiently for sales?,0
Please provide the value for: How much was Dividend Yield in May 2025,0
Could you share the Trade Payables for Q2 2025?,0
Please provide the value for: Can you share the Price-to-Book Ratio for Q1 2025,0
Can u pls tel me Equity from Q1 2025?,0
Please provide the value for: Can u tell me Operating Expenses last yr,0
How much was Deferred Tax Liabilities in May 2025?,0
Can you tell me what was the Price-to-Earnings (P/E) Ratio last year?,0
Please provide the value for: Wat was Payables Turnover this month,0
What’s our bottom line for Q2 2025?,0
I want to know the Trade Payables for Q2 2025?,0
Please provide the Net Profit Margin value for Q1 2025?,0
I want to know the Net Profit Margin value for Q1 2025?,0
Please provide the value for: Do we have funds reserved for future liabilities,0
I want to know the Non-Current Liabilities  for First half 2013.,0
Might we owe money if a legal case goes against us?,0
I want to know the Financing Cash Flow total this month?,0
Please provide the value for: How much was the EPS in May 2025,0
Please provide the value for: Wat was Deferred Tax Assets this month,0
Please provide the value for: How much profit did we keep after everything last quarter,0
Please provide the value for: Are people paying a lot for our stock compared to profits,0
It is requested to provide the Inventory Turnover last year?,0
I want to know the r Financial Liabilities last yr?,0
Please provide the value for: Are we using what we own to boost sales well,0
Please provide the value for: I want to know the Liabilities  for Second half 2021,0
Do we have enough saved for future expenses?,0
Please provide the value for: How much was the Other Financial Liabilities during the last quarter,0
Does our stock price match what we’re really worth?,0
I want to know the r Financial Liabilities in May 2025?,0
What was the Non-Current Assets  for June 2017?,0
Please provide the value for: Can you pls tel me Accruals from last year,0
Can you share the Net Profit so far for First half 2023?,0
I want to know the How much have we kept from past profits?,0
I want to know the P/B Ratio last year?,0
Please provide the value for: Wat was Other Financial Liabilities this month,0
Please provide the value for: Can u pls tel me Assets from Q1 2025,0
I want to know the Working Capital year to date for First half 2018?,0
Please provide the value for: How much was the Debt-to-Equity Ratio in May 2025,0
I want to know the Have we saved up for any big costs coming up?,0
Can you tell me what was the Equity Ratio last year?,0
Could you share the Deferred Tax Liabilities for Q2 2025?,0
I want to know the r Financial Liabilities total this month?,0
I want to know the What did we earn from operations before interest last year?,0
I want to know the period for FY 2018?,0
Can u pls tel me EBITDA Margin last yr?,0
Wat was P/E Ratio this month?,0
I want to know the period for April 2014?,0
Please provide the value for: Can u pls tel me EBITDA Margin last yr,0
Are there tax benefits we can claim in the future?,0
What other debts do we have besides loans?,0
What was the total Assets this month?,0
Please provide the value for: What was the Dividend Payout Ratio total this month,0
What was the Provisions total this year?,0
I want to know the How much cash flowed from operations in June 2025?,0
Wat was Deferred Tax Assets this month?,0
Please provide the value for: How much was EV in May 2025,0
Can you share the Net Worth  for June 2015?,0
Do we have enough cash for bills due immediately?,0
I want to know the Investing Cash Flow cumulative through for January 2015?,0
I'd like to know the EBIT from the last quarter.,0
I want to know the Give me Investment Property figure for last quater?,0
Please provide the value for: Are clients paying us faster than last month,0
Please provide the value for: Can you share the Debt-to-Equity Ratio for Q1 2025,0
I would like to receive the Financial Assets figure for Q1 2025.,0
I want to know the Investing Cash Flow as of for March 2022.,0
Can you share the Revenue for the period for Q2 2013?,0
Could you tell me the Gross Profit  for June 2012?,0
Can you tell me what is the Other Equity / Reserves & Surplus last year?,0
I want to know the Wat was EBITDA this month?,0
I want to know the Depreciation year to date for Q1 2015.,0
Can you share the Non-Current Assets  for FY 2014?,0
I want to know the Wat was ROE this month?,0
How quick are we collecting payments this quarter?,0
I want to know the Can yu share Inventories last yr?,0
Please provide the value for: Are we making smart use of our funds for profit,0
Can u tell me Payables Turnover last yr?,0
I want to know the Financing Cash Flow so far for Second half 2010?,0
Can you provide the Dividend Yield value this month?,0
I want to know the Wat was Asset Turnover this month?,0
Please provide the value for: What costs are we spreading for patents this year,0
Might we owe money depending on future events?,0
I want to know the How much are things like our patents worth?,0
"I want to know the Property, Plant and Equipment (PPE) last quarter?",0
I want to know the How much are our physical assets worth right now?,0
I want to know the Non-Current Assets  for November 2021?,0
I want to know the Price-to-Book Ratio total this month?,0
Please provide the value for: How much was Debt Ratio in May 2025,0
Please provide the value for: Does our stock price reflect our real value,0
Please provide the value for: What was the COGS amount this month,0
Does our stock price reflect our real values?,0
I want to know the How much of what we have is paid for with loans?,0
Please provide the value for: What’s the value of our factories and machines today,0
Are we getting sales from working capital?,0
Can you tell me what was the EBITDA Margin last year?,0
I want to know the Can we cover interest with our earnings?,0
Please give me the Current Liabilities for the period for Q4 2012.,0
I want to know the Provisions during Q1?,0
I want to know the Can u tell me Operating Expenses last yr?,0
I want to know the Cash Ratio in May 2025?,0
Please provide the value for: Can we cover immediate expenses with cash,0
I want to know the period for FY 2017.,0
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,0
Please I would like to receive the Free Cash Flow for the period for January 2011.,0
Are we setting aside money for future employee costs?,0
"After buying what we needed, how much cash is left this year?",0
Gimme EPS figure for last quater?,0
I want to know the Investing Cash Flow total this month?,0
What portion of our stuff is funded by borrowing?,0
"I want to know the total worth of our company, debts included?",0
Please provide the value for: Tell me the value of COGS in the last quarter,0
I want to know the Assets last year?,0
I want to know the How much of our company do owners control?,0
Are we spending more than planned this year?,0
I want to know the Payables Turnover in Q1 2025?,0
How much was Operating Profit in May 2025?,0
I want to know the Operating Cash Flow  for FY 2017?,0
Please provide the value for: Can u pls tel me Cash Ratio in Q1 2025,0
Please provide the value for: How much are investors earning on their stake in Q2,0
I want to know the Wat was EV/EBITDA this month?,0
I want to know the How much profit did each share make last quarter?,0
What was the Current Ratio value in May 2025?,0
I want to know the How much of our assets are paid for with loans?,0
I want to know the Are our debts higher than our equity this quarter?,0
Please provide the value for: What’s our final profit after all costs this month,0
Can yu share Liabilities for this month?,0
"I want to know the After covering production, what did we keep in Q2 2025?",0
Please provide the value for: Wat was Non-Current Liabilities this month,0
Can yu share what was the Investing Cash Flow last year?,0
I want to know the What’s our profitability after making goods?,0
Please provide the value for: Are there potential liabilities from future events,0
I want to know the Current Liabilities up to for Second half 2017.,0
Please provide the value for: Wat was Equity this month,0
Please provide the value for: What share of earnings goes to dividend payments,0
Please provide the value for: Can yu share what was the Assets last year,0
I want to know the How much of sales is profit before write-offs?,0
I want to know the Current Assets last year?,0
Please provide the value for: How’s our profit after production trending in 2025,0
Please provide the value for: What was the EPS for the period for July 2022,0
Please provide the value for: Are we liquid enough without inventory for short-term bills,0
I want to know the Inventory Turnover total this month?,0
I want to know the Could we owe money from legal disputes?,0
I want to know the Receivables Turnover in May 2025?,0
I want to know the Can yu share EBITDA in Q1 2025?,0
How much went to investments this quarter?,0
I want to know the Gross Profit to date for Second half 2010.,0
I want to know the Is our profit after regular expenses getting better?,0
I want to know the Do our assets drive revenue efficiently?,0
Please provide the value for: Can you share the Equity for the period for FY 2018,0
Please provide the value for: How much was the Asset Turnover in May 2025,0
Please provide the value for: Can yu share what was the Equity last year,0
Could you share the Current Assets for Q1 2025?,0
I want to know the Net Worth in Q1 2025?,0
"I want to know the What’s our company’s total worth, including debts?",0
Give me the Assets figures for the last quarter.,0
I want to know the What’s our worth relative to earnings before taxes?,0
I want to know the Deferred Tax Assets last quarter?,0
Please provide the value for: Could you tell me the EBITDA up to for Second half 2013,0
I want to know the business running this year?,0
What’s the balance of loans versus our own money?,0
What was the Working Capital Turnover value in May 2025?,0
Please provide the value for: Wat was Capital Gearing Ratio this month,0
I want to know the period for First half 2019?,0
Please provide the value for: What was the Current Liabilities amount this month,0
Please provide the value for: Could you share the PPE for the last quarter,0
Please provide the value for: Can we cover loan interest with our profits,0
Please provide the value for: Can we save on taxes later because of past losses,0
What costs are we spreading for patents this year?,0
I want to know the Dividend Payout Ratio in May 2025?,0
Please provide the value for: What was the Net Worth in the last quarter,0
Please I would like to receive the Operating Expenses so far for FY 2013.,0
Please provide the value for: How much was Gross Profit in May 2025,0
I want to know the Gross Profit so far for First half 2017.,0
Please provide the value for: Do we owe more than our shareholders’ worth,0
Could you tell me the Assets  for July 2017?,0
Please provide the value for: Are we okay for bills due in the next year,0
Please provide the value for: How much money did we make from sales in May 2025,0
Please provide the value for: I want to know the Non-Current Liabilities  for First half 2013,0
What’s the payout to investors from dividends right now?,0
What was the Assets for the period for FY 2023?,0
Wat was the Capital Gearing Ratio last quarter?,0
Please provide the value for: Can yu share EPS in Q1 2025,0
I want to know the ROCE in Q1 2025?,0
What was the Net Profit value in May 2025?,0
I want to know the Liabilities  for FY 2023?,0
I want to know the Is our short-term cash fueling sales effectively?,0
I want to know the y did last year?,0
I want to know the period for FY 2023?,0
Please provide the value for: Can you share the Net Profit to date for FY 2025,0
How much was the ROE in May 2025?,0
I want to know the return for shareholders this quarter?,0
How’s our profit margin after production in Q1?,0
What was the Investment Property total this year?,0
Please provide the value for: Gimme Gross Profit for last quater,0
I want to know the Non-Current Liabilities for the period for FY 2019.,0
I want to know the Do we have funds for upcoming obligations?,0
I want to know the Have we borrowed or sold shares for cash recently?,0
I want to know the Do we have enough without inventory for debts?,0
How much cash do we have left after equipment buys this month?,0
What’s our profit percentage before taxes over the last year?,0
What was the Non-Current Assets for the period for Q1 2010?,0
I want to know the Price-to-Earnings (P/E) Ratio last yr?,0
Please provide the value for: How much was the Financing Cash Flow in Q1 2025,0
Please provide the value for: Can u pls tel me Non-Current Liabilities last yr,0
How much was Current Ratio in May 2025?,0
Please provide the value for: Can yu share Cash Ratio last yr,0
Could you tell me the Free Cash Flow for the period for April 2014?,0
I want to know the What portion of earnings goes to shareholders?,0
I want to know the How much do we have in stocks or bonds?,0
Please provide the value for: Wat was Revenue this month,0
How much were the Assets in May 2025?,0
What share of earnings goes to dividend payments?,0
It is requested to provide the Amortization last year?,0
Please I would like to receive the Assets for the period for Second half 2010.,0
Gimme Current Liabilities for this month?,0
Please provide the value for: Can u tell me Operating Cash Flow last yr,0
Please provide the value for: What’s left after all costs and taxes in Q1 2025,0
Please provide the value for: How much are things like our patents worth,0
I want to know the Share Capital total this year?,0
How much was Capital Gearing Ratio in May 2025?,0
Can you tell me what was the Net Profit Margin last year?,0
Wat was Net Profit Margin this month?,0
I want to know the What’s our profit share before taxes in Q1 2025?,0
Please provide the value for: Can you share the Deferred Tax Assets for Q1 2025,0
I want to know the Quick Ratio for Q1 2025?,0
Please provide the value for: What was the Inventory Turnover value in May 2025,0
Could you share the Equity for the last quarter?,0
I want to know the How much did each share earn last quarter?,0
Please provide the value for: What was the Trade Payables total this month,0
How much profit did each share make last quarter?,0
I want to know the How much is each share earning this month?,0
Please provide the PPE value for Q1 2025?,0
Please provide the value for: Can u pls tel me Receivables Turnover in Q1 2025,0
Please provide the value for: Can u pls tel me Net Profit last yr,0
I want to know the Can you pls tel me Earnings Per Share (EPS) from last year?,0
Can yu share Contingent Liabilities last yr?,0
I want to know the ir stake in Q2?,0
It is requested to provide the Deferred Tax Assets last year?,0
Please provide the value for: How much was Equity Ratio last quater,0
Please I would like to receive the EPS  for FY 2010.,0
I wanna know Net Worth in Q1 2025?,0
I want to know the Assets to date for FY 2011.,0
I want to know the Deferred Tax Assets last year?,0
Please provide the value for: Wat was Debt-to-Equity Ratio this month,0
I want to know the per-share profit for this quarter?,0
What was the P/E Ratio values in May 2025?,0
Tell me the values of Price-to-Book Ratio in the last quarter.,0
What was the total Deferred Tax Assets this year?,0
Please provide the value for: Are production costs higher than last quarter,0
Could we owe money from legal disputes?,0
Please provide the value for: Could you tell me the Non-Current Assets for the period for First half 2019,0
Please provide the value for: Could we face debts from unresolved legal issues,0
I want to know the period for Q2 2013?,0
What’s the total value of everything we own right now?,0
I want to know the How much do we have tied up in stocks or bonds?,0
Can yu share Inventories last yr?,0
I want to know the split between borrowed money and our own funds?,0
I want to know the Share Capital for Q2 2025?,0
What was the Depreciation value in May 2025?,0
Can you provide the Working Capital value for Q1 2025?,0
Are we collecting client payments quickly?,0
Please I would like to receive the Gross Profit to date for Second half 2010.,0
Are we overvalued based on our earnings?,0
Please provide the value for: How much were the Accruals in May 2025,0
Can you tell me what was the Operating Expenses last year?,0
Can u pls tel me EV/EBITDA in Q1 2025?,0
How much are we spending to keep things running?,0
Please provide the value for: How fast are customers paying us in 2025,0
Please give me the Free Cash Flow for the period for January 2011.,0
"Please provide the value for: Without our inventory, can we pay what’s due soon",0
What was the Non-Current Liabilities so far for Q3 2013?,0
I'd like to know the Contingent Liabilities from the last quarter.,0
What was the Non-Current Assets so far for August 2013?,0
Please provide the value for: I want to know the Working Capital  for July 2020,0
I want to know the Are we saving enough for future employee costs?,0
Can you provide the Share Capital amount for Q1 2025?,0
Can u tell me EV last yr?,0
What did we earn from operations before interest last year?,0
Please provide the value for: How much were the Provisions in Q1 2025,0
I want to know the Equity last year?,0
I want to know the period for Q2 2016?,0
I want to know the Current Liabilities last quarter?,0
Are we getting good sales from our short-term cash?,0
Please provide the value for: Wat was the Net Worth this month,0
I want to know the Assets in May 2025?,0
How much was Share Capital in May 2025?,0
I want to know the How much was Enterprise Value (EV) last quater?,0
I want to know the Current Assets for Q1 2025?,0
Please provide the value for: What was the Revenue so far for FY 2024,0
Is our stock price in line with our net assets?,0
Please provide the value for: How has our profit after production been trending lately,0
How much was Working Capital Turnover in May 2025?,0
I want to know the Enterprise Value (EV) last year?,0
I want to know the How much was Intangible Assets in May 2025?,0
Please provide the Capital Gearing Ratio value for Q1 2025?,0
Can you provide the Working Capital Turnover value this month?,0
Can you share the Assets for the period for February 2014?,0
I want to know the Equity year to date for August 2014.,0
Please give me the Depreciation to date for Second half 2020.,0
I'd like to know the Operating Expenses from the last quarter.,0
Can you tell me what was the Receivables Turnover last year?,0
I want to know the Can we save on taxes later because of past losses?,0
Please provide the value for: What debts are we carrying for the long haul,0
I want to know the How much profit did we clear after all costs in May?,0
How much was EBITDA Margin in May 2025?,0
I want to know the What expenses have we logged but not paid in June?,0
I want to know the How much are our properties for rent or sale worth?,0
I want to know the Can yu share Intangible Assets in Q1 2025?,0
What’s left after covering production costs this year?,0
Please provide the value for: Did we raise funds through financing in Q2 2025,0
I want to know the EBITDA  for December 2021.,0
I want to know the Provisions in Q1 2025?,0
Are our debts higher than our equity this quarter?,0
Please provide the value for: Tell me ROE in Q1 2025,0
Please provide the value for: What was the Equity amount this month,0
What’s our company’s value to owners after paying debts?,0
Please provide the value for: How much cash do we have after covering short-term bills,0
I want to know the Intangible Assets total this year?,0
I want to know the How much was EV/EBITDA in May 2025?,0
Please provide the value for: Tell me the Gross Profit last yr,0
I want to know the Net Worth total this month?,0
Please provide the value for: What was the Operating Profit Margin in the last quarter,0
I want to know the How well are we using our stuff to boost revenue?,0
I want to know the How much cash do we have after covering short-term bills?,0
I want to know the EV/EBITDA last quarter?,0
Tell me the value of Price-to-Book Ratio in the last quarter.,0
Please provide the value for: How does our value compare to profits before taxes,0
Please provide the value for: Can you share the Non-Current Assets  for FY 2014,0
Give me Provisions figures for last quater?,0
I want to know the Is our cash enough for immediate bills?,0
Please provide the value for: Could you tell me the EPS  for FY 2012,0
I want to know the What’s our profit from operations in Q2 2025?,0
How much are our physical assets worth right now?,0
Please provide the value for: Can we pay debts without our inventory,0
I want to know the Gross Profit last year?,0
