NL_Query,period_id,period_view,predicted_period_id,gt_year,predicted_year,gt_nature,predicted_nature,gt_view,predicted_view,gt_sequence,predicted_sequence
Can you share the Operating Expenses for the period for Second half 2013?,2013_FH_FTP_2,FTP,2013_FH_FTP_2,2013,2013,FH,FH,FTP,FTP,2,2
I want to know the Non-Current Assets to date for May 2020.,2020_M_PRD_5,PRD,2020_M_PRD_0,2020,2020,M,M,PRD,PRD,5,0
Please give me the Non-Current Assets for the period for FY 2010.,2010_FY_FTP_1,FTP,2010_FY_FTP_1,2010,2010,FY,FY,FTP,FTP,1,1
Could you tell me the Net Worth so far for June 2015?,2015_M_PRD_6,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,6,0
I want to know the Equity for the period for Q3 2014.,2014_FQ_FTP_3,FTP,2014_FQ_FTP_3,2014,2014,FQ,FQ,FTP,FTP,3,3
I want to know the Non-Current Liabilities  for First half 2013.,2013_FH_FTP_1,FTP,2013_FH_PRD_1,2013,2013,FH,FH,FTP,PRD,1,1
What was the Equity cumulative through for February 2019?,2019_M_PRD_2,PRD,2019_M_PRD_0,2019,2019,M,M,PRD,PRD,2,0
Could you tell me the EBITDA up to for Second half 2013?,2013_FH_PRD_2,PRD,2013_FH_PRD_2,2013,2013,FH,FH,PRD,PRD,2,2
Please give me the Financing Cash Flow  for January 2013.,2013_M_FTP_1,FTP,2013_M_PRD_0,2013,2013,M,M,FTP,PRD,1,0
Please give me the Financing Cash Flow  for Q1 2016.,2016_FQ_FTP_1,FTP,2016_FQ_PRD_1,2016,2016,FQ,FQ,FTP,PRD,1,1
Could you tell me the Operating Expenses up to for Q4 2022?,2022_FQ_PRD_4,PRD,2022_FQ_PRD_4,2022,2022,FQ,FQ,PRD,PRD,4,4
I want to know the Net Profit year to date for FY 2016.,2016_FY_PRD_1,PRD,2016_FY_PRD_1,2016,2016,FY,FY,PRD,PRD,1,1
I want to know the Assets to date for FY 2011.,2011_FY_PRD_1,PRD,2011_FY_PRD_1,2011,2011,FY,FY,PRD,PRD,1,1
I want to know the Equity cumulative through for April 2011.,2011_M_PRD_4,PRD,2011_M_PRD_0,2011,2011,M,M,PRD,PRD,4,0
I want to know the Current Liabilities up to for Second half 2017.,2017_FH_PRD_2,PRD,2017_FH_PRD_2,2017,2017,FH,FH,PRD,PRD,2,2
Can you share the Gross Profit  for November 2018?,2018_M_FTP_11,FTP,2018_M_PRD_0,2018,2018,M,M,FTP,PRD,11,0
What was the Current Assets as of for Q3 2011?,2011_FQ_PRD_3,PRD,2011_FQ_PRD_3,2011,2011,FQ,FQ,PRD,PRD,3,3
Can you share the Amortization year to date for Q3 2016?,2016_FQ_PRD_3,PRD,2016_FQ_PRD_3,2016,2016,FQ,FQ,PRD,PRD,3,3
Can you share the Net Worth for the period for May 2021?,2021_M_FTP_5,FTP,2021_M_PRD_0,2021,2021,M,M,FTP,PRD,5,0
Can you share the Net Worth cumulative through for Q1 2016?,2016_FQ_PRD_1,PRD,2016_FQ_PRD_1,2016,2016,FQ,FQ,PRD,PRD,1,1
Could you tell me the EPS up to for First half 2013?,2013_FH_PRD_1,PRD,2013_FH_PRD_1,2013,2013,FH,FH,PRD,PRD,1,1
Can you share the Net Profit so far for May 2014?,2014_M_PRD_5,PRD,2014_M_PRD_0,2014,2014,M,M,PRD,PRD,5,0
What was the Equity  for July 2011?,2011_M_FTP_7,FTP,2011_M_PRD_0,2011,2011,M,M,FTP,PRD,7,0
Can you share the Investing Cash Flow cumulative through for Second half 2016?,2016_FH_PRD_2,PRD,2016_FH_PRD_2,2016,2016,FH,FH,PRD,PRD,2,2
I want to know the Revenue as of for Q2 2024.,2024_FQ_PRD_2,PRD,2024_FQ_PRD_2,2024,2024,FQ,FQ,PRD,PRD,2,2
I want to know the Current Assets to date for Q1 2014.,2014_FQ_PRD_1,PRD,2014_FQ_PRD_1,2014,2014,FQ,FQ,PRD,PRD,1,1
I want to know the Equity as of for First half 2020.,2020_FH_PRD_1,PRD,2020_FH_PRD_1,2020,2020,FH,FH,PRD,PRD,1,1
I want to know the Non-Current Liabilities for the period for FY 2019.,2019_FY_FTP_1,FTP,2019_FY_PRD_1,2019,2019,FY,FY,FTP,PRD,1,1
I want to know the Operating Expenses to date for Q4 2014.,2014_FQ_PRD_4,PRD,2014_FQ_PRD_4,2014,2014,FQ,FQ,PRD,PRD,4,4
What was the Working Capital as of for Second half 2024?,2024_FH_PRD_2,PRD,2024_FH_PRD_2,2024,2024,FH,FH,PRD,PRD,2,2
Can you share the Operating Cash Flow cumulative through for Q2 2014?,2014_FQ_PRD_2,PRD,2014_FQ_PRD_2,2014,2014,FQ,FQ,PRD,PRD,2,2
I want to know the Amortization so far for FY 2018.,2018_FY_PRD_1,PRD,2018_FY_PRD_1,2018,2018,FY,FY,PRD,PRD,1,1
Could you tell me the Gross Profit for the period for FY 2015?,2015_FY_FTP_1,FTP,2015_FY_FTP_1,2015,2015,FY,FY,FTP,FTP,1,1
I want to know the Operating Expenses as of for FY 2019.,2019_FY_PRD_1,PRD,2019_FY_PRD_1,2019,2019,FY,FY,PRD,PRD,1,1
Could you tell me the Net Profit cumulative through for First half 2019?,2019_FH_PRD_1,PRD,2019_FH_PRD_1,2019,2019,FH,FH,PRD,PRD,1,1
What was the Depreciation to date for FY 2025?,2025_FY_PRD_1,PRD,2025_FY_PRD_1,2025,2025,FY,FY,PRD,PRD,1,1
Please give me the Net Worth  for FY 2017.,2017_FY_FTP_1,FTP,2017_FY_PRD_1,2017,2017,FY,FY,FTP,PRD,1,1
Please give me the Amortization for the period for Second half 2020.,2020_FH_FTP_2,FTP,2020_FH_FTP_2,2020,2020,FH,FH,FTP,FTP,2,2
I want to know the Gross Profit so far for First half 2017.,2017_FH_PRD_1,PRD,2017_FH_PRD_1,2017,2017,FH,FH,PRD,PRD,1,1
What was the Non-Current Liabilities  for Q3 2013?,2013_FQ_FTP_3,FTP,2013_FQ_PRD_3,2013,2013,FQ,FQ,FTP,PRD,3,3
Please give me the Net Profit for the period for FY 2025.,2025_FY_FTP_1,FTP,2025_FY_FTP_1,2025,2025,FY,FY,FTP,FTP,1,1
Can you share the Net Profit so far for First half 2023?,2023_FH_PRD_1,PRD,2023_FH_PRD_1,2023,2023,FH,FH,PRD,PRD,1,1
Could you tell me the Operating Expenses year to date for April 2016?,2016_M_PRD_4,PRD,2016_M_PRD_0,2016,2016,M,M,PRD,PRD,4,0
Please give me the Assets for the period for Second half 2010.,2010_FH_FTP_2,FTP,2010_FH_FTP_2,2010,2010,FH,FH,FTP,FTP,2,2
Could you tell me the Non-Current Assets for the period for First half 2019?,2019_FH_FTP_1,FTP,2019_FH_PRD_1,2019,2019,FH,FH,FTP,PRD,1,1
Please give me the Gross Profit to date for Second half 2010.,2010_FH_PRD_2,PRD,2010_FH_PRD_2,2010,2010,FH,FH,PRD,PRD,2,2
Can you share the Net Worth to date for FY 2016?,2016_FY_PRD_1,PRD,2016_FY_PRD_1,2016,2016,FY,FY,PRD,PRD,1,1
Can you share the Current Assets as of for FY 2021?,2021_FY_PRD_1,PRD,2021_FY_PRD_1,2021,2021,FY,FY,PRD,PRD,1,1
What was the Liabilities  for FY 2023?,2023_FY_FTP_1,FTP,2023_FY_PRD_1,2023,2023,FY,FY,FTP,PRD,1,1
Please give me the Depreciation  for Second half 2023.,2023_FH_FTP_2,FTP,2023_FH_PRD_2,2023,2023,FH,FH,FTP,PRD,2,2
Can you share the Non-Current Liabilities so far for April 2022?,2022_M_PRD_4,PRD,2022_M_PRD_0,2022,2022,M,M,PRD,PRD,4,0
I want to know the Gross Profit  for Q2 2014.,2014_FQ_FTP_2,FTP,2014_FQ_PRD_2,2014,2014,FQ,FQ,FTP,PRD,2,2
I want to know the Liabilities  for Second half 2021.,2021_FH_FTP_2,FTP,2021_FH_PRD_2,2021,2021,FH,FH,FTP,PRD,2,2
Could you tell me the Net Profit to date for Q4 2019?,2019_FQ_PRD_4,PRD,2019_FQ_PRD_4,2019,2019,FQ,FQ,PRD,PRD,4,4
Please give me the EPS  for Q1 2020.,2020_FQ_FTP_1,FTP,2020_FQ_PRD_1,2020,2020,FQ,FQ,FTP,PRD,1,1
I want to know the EBITDA to date for Q2 2022.,2022_FQ_PRD_2,PRD,2022_FQ_PRD_2,2022,2022,FQ,FQ,PRD,PRD,2,2
Can you share the Non-Current Assets for the period for Q1 2022?,2022_FQ_FTP_1,FTP,2022_FQ_PRD_1,2022,2022,FQ,FQ,FTP,PRD,1,1
Could you tell me the Amortization for the period for Q1 2012?,2012_FQ_FTP_1,FTP,2012_FQ_FTP_1,2012,2012,FQ,FQ,FTP,FTP,1,1
Could you tell me the Free Cash Flow for the period for April 2014?,2014_M_FTP_4,FTP,2014_M_FTP_0,2014,2014,M,M,FTP,FTP,4,0
Could you tell me the EBITDA for the period for FY 2023?,2023_FY_FTP_1,FTP,2023_FY_FTP_1,2023,2023,FY,FY,FTP,FTP,1,1
Can you share the EBITDA  for Q4 2016?,2016_FQ_FTP_4,FTP,2016_FQ_PRD_4,2016,2016,FQ,FQ,FTP,PRD,4,4
What was the Depreciation for the period for Q4 2015?,2015_FQ_FTP_4,FTP,2015_FQ_FTP_4,2015,2015,FQ,FQ,FTP,FTP,4,4
I want to know the Current Liabilities cumulative through for FY 2022.,2022_FY_PRD_1,PRD,2022_FY_PRD_1,2022,2022,FY,FY,PRD,PRD,1,1
I want to know the Investing Cash Flow for the period for First half 2025.,2025_FH_FTP_1,FTP,2025_FH_PRD_1,2025,2025,FH,FH,FTP,PRD,1,1
I want to know the Gross Profit year to date for February 2016.,2016_M_PRD_2,PRD,2016_M_PRD_0,2016,2016,M,M,PRD,PRD,2,0
I want to know the Free Cash Flow  for Second half 2016.,2016_FH_FTP_2,FTP,2016_FH_PRD_2,2016,2016,FH,FH,FTP,PRD,2,2
What was the EBITDA  for FY 2010?,2010_FY_FTP_1,FTP,2010_FY_FTP_1,2010,2010,FY,FY,FTP,FTP,1,1
Could you tell me the Assets  for July 2017?,2017_M_FTP_7,FTP,2017_M_PRD_0,2017,2017,M,M,FTP,PRD,7,0
Please give me the Non-Current Assets to date for FY 2010.,2010_FY_PRD_1,PRD,2010_FY_PRD_1,2010,2010,FY,FY,PRD,PRD,1,1
Could you tell me the Financing Cash Flow year to date for First half 2014?,2014_FH_PRD_1,PRD,2014_FH_PRD_1,2014,2014,FH,FH,PRD,PRD,1,1
I want to know the Gross Profit  for FY 2010.,2010_FY_FTP_1,FTP,2010_FY_FTP_1,2010,2010,FY,FY,FTP,FTP,1,1
Can you share the Equity for the period for FY 2018?,2018_FY_FTP_1,FTP,2018_FY_FTP_1,2018,2018,FY,FY,FTP,FTP,1,1
Please give me the Current Liabilities as of for May 2015.,2015_M_PRD_5,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,5,0
Please give me the Non-Current Assets  for Q4 2017.,2017_FQ_FTP_4,FTP,2017_FQ_PRD_4,2017,2017,FQ,FQ,FTP,PRD,4,4
What was the Equity year to date for Second half 2017?,2017_FH_PRD_2,PRD,2017_FH_PRD_2,2017,2017,FH,FH,PRD,PRD,2,2
Please give me the Current Liabilities for the period for Q4 2012.,2012_FQ_FTP_4,FTP,2012_FQ_FTP_4,2012,2012,FQ,FQ,FTP,FTP,4,4
Could you tell me the Investing Cash Flow cumulative through for January 2015?,2015_M_PRD_1,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,1,0
What was the Liabilities as of for FY 2015?,2015_FY_PRD_1,PRD,2015_FY_PRD_1,2015,2015,FY,FY,PRD,PRD,1,1
Can you share the Financing Cash Flow for the period for Second half 2024?,2024_FH_FTP_2,FTP,2024_FH_PRD_2,2024,2024,FH,FH,FTP,PRD,2,2
I want to know the Operating Cash Flow  for Q4 2016.,2016_FQ_FTP_4,FTP,2016_FQ_PRD_4,2016,2016,FQ,FQ,FTP,PRD,4,4
Could you tell me the Free Cash Flow  for First half 2018?,2018_FH_FTP_1,FTP,2018_FH_FTP_1,2018,2018,FH,FH,FTP,FTP,1,1
Please give me the EPS for the period for April 2019.,2019_M_FTP_4,FTP,2019_M_PRD_0,2019,2019,M,M,FTP,PRD,4,0
Please give me the Operating Expenses for the period for Q3 2013.,2013_FQ_FTP_3,FTP,2013_FQ_FTP_3,2013,2013,FQ,FQ,FTP,FTP,3,3
Please give me the Operating Cash Flow up to for October 2011.,2011_M_PRD_10,PRD,2011_M_PRD_0,2011,2011,M,M,PRD,PRD,10,0
Can you share the Amortization as of for July 2025?,2025_M_PRD_7,PRD,2025_M_PRD_0,2025,2025,M,M,PRD,PRD,7,0
Please give me the Assets for the period for Q2 2023.,2023_FQ_FTP_2,FTP,2023_FQ_PRD_2,2023,2023,FQ,FQ,FTP,PRD,2,2
What was the Assets for the period for FY 2023?,2023_FY_FTP_1,FTP,2023_FY_FTP_1,2023,2023,FY,FY,FTP,FTP,1,1
Can you share the Liabilities to date for Second half 2015?,2015_FH_PRD_2,PRD,2015_FH_PRD_2,2015,2015,FH,FH,PRD,PRD,2,2
Can you share the EBITDA to date for FY 2015?,2015_FY_PRD_1,PRD,2015_FY_PRD_1,2015,2015,FY,FY,PRD,PRD,1,1
I want to know the Non-Current Liabilities  for Q3 2024.,2024_FQ_FTP_3,FTP,2024_FQ_PRD_3,2024,2024,FQ,FQ,FTP,PRD,3,3
What was the Non-Current Assets so far for August 2013?,2013_M_PRD_8,PRD,2013_M_PRD_0,2013,2013,M,M,PRD,PRD,8,0
Can you share the Financing Cash Flow for the period for Q4 2011?,2011_FQ_FTP_4,FTP,2011_FQ_FTP_4,2011,2011,FQ,FQ,FTP,FTP,4,4
Can you share the Liabilities cumulative through for Q4 2015?,2015_FQ_PRD_4,PRD,2015_FQ_PRD_4,2015,2015,FQ,FQ,PRD,PRD,4,4
Could you tell me the EPS  for FY 2012?,2012_FY_FTP_1,FTP,2012_FY_PRD_1,2012,2012,FY,FY,FTP,PRD,1,1
Can you share the Revenue as of for January 2018?,2018_M_PRD_1,PRD,2018_M_PRD_0,2018,2018,M,M,PRD,PRD,1,0
What was the EPS to date for First half 2022?,2022_FH_PRD_1,PRD,2022_FH_PRD_1,2022,2022,FH,FH,PRD,PRD,1,1
Please give me the Depreciation to date for Second half 2020.,2020_FH_PRD_2,PRD,2020_FH_PRD_2,2020,2020,FH,FH,PRD,PRD,2,2
What was the Depreciation  for January 2024?,2024_M_FTP_1,FTP,2024_M_FTP_0,2024,2024,M,M,FTP,FTP,1,0
What was the EPS  for February 2025?,2025_M_FTP_2,FTP,2025_M_PRD_0,2025,2025,M,M,FTP,PRD,2,0
What was the EPS year to date for November 2023?,2023_M_PRD_11,PRD,2023_M_PRD_0,2023,2023,M,M,PRD,PRD,11,0
I want to know the Amortization as of for FY 2012.,2012_FY_PRD_1,PRD,2012_FY_FTP_1,2012,2012,FY,FY,PRD,FTP,1,1
Please give me the Revenue  for Second half 2018.,2018_FH_FTP_2,FTP,2018_FH_PRD_2,2018,2018,FH,FH,FTP,PRD,2,2
Could you tell me the EBITDA  for January 2023?,2023_M_FTP_1,FTP,2023_M_PRD_0,2023,2023,M,M,FTP,PRD,1,0
Please give me the Assets  for March 2018.,2018_M_FTP_3,FTP,2018_M_PRD_0,2018,2018,M,M,FTP,PRD,3,0
I want to know the Working Capital  for Q3 2016.,2016_FQ_FTP_3,FTP,2016_FQ_PRD_3,2016,2016,FQ,FQ,FTP,PRD,3,3
Could you tell me the Working Capital for the period for August 2025?,2025_M_FTP_8,FTP,2025_M_FTP_0,2025,2025,M,M,FTP,FTP,8,0
Could you tell me the Assets as of for July 2019?,2019_M_PRD_7,PRD,2019_M_PRD_0,2019,2019,M,M,PRD,PRD,7,0
I want to know the Equity  for April 2017.,2017_M_FTP_4,FTP,2017_M_PRD_0,2017,2017,M,M,FTP,PRD,4,0
Could you tell me the Financing Cash Flow so far for Second half 2010?,2010_FH_PRD_2,PRD,2010_FH_PRD_2,2010,2010,FH,FH,PRD,PRD,2,2
I want to know the Non-Current Assets for the period for Second half 2013.,2013_FH_FTP_2,FTP,2013_FH_PRD_2,2013,2013,FH,FH,FTP,PRD,2,2
Please give me the Revenue year to date for January 2020.,2020_M_PRD_1,PRD,2020_M_PRD_0,2020,2020,M,M,PRD,PRD,1,0
Can you share the Operating Cash Flow  for First half 2016?,2016_FH_FTP_1,FTP,2016_FH_PRD_1,2016,2016,FH,FH,FTP,PRD,1,1
What was the Non-Current Assets  for June 2017?,2017_M_FTP_6,FTP,2017_M_PRD_0,2017,2017,M,M,FTP,PRD,6,0
What was the Non-Current Liabilities so far for Q4 2015?,2015_FQ_PRD_4,PRD,2015_FQ_PRD_4,2015,2015,FQ,FQ,PRD,PRD,4,4
Please give me the Net Worth  for August 2024.,2024_M_FTP_8,FTP,2024_M_FTP_0,2024,2024,M,M,FTP,FTP,8,0
Could you tell me the Free Cash Flow so far for First half 2024?,2024_FH_PRD_1,PRD,2024_FH_PRD_1,2024,2024,FH,FH,PRD,PRD,1,1
What was the Current Assets  for Second half 2018?,2018_FH_FTP_2,FTP,2018_FH_PRD_2,2018,2018,FH,FH,FTP,PRD,2,2
Can you share the EPS  for Second half 2024?,2024_FH_FTP_2,FTP,2024_FH_PRD_2,2024,2024,FH,FH,FTP,PRD,2,2
Can you share the Non-Current Assets  for November 2021?,2021_M_FTP_11,FTP,2021_M_PRD_0,2021,2021,M,M,FTP,PRD,11,0
What was the Net Profit as of for Q2 2025?,2025_FQ_PRD_2,PRD,2025_FQ_PRD_2,2025,2025,FQ,FQ,PRD,PRD,2,2
Could you tell me the Net Profit year to date for Q2 2024?,2024_FQ_PRD_2,PRD,2024_FQ_PRD_2,2024,2024,FQ,FQ,PRD,PRD,2,2
Can you share the Working Capital cumulative through for Second half 2018?,2018_FH_PRD_2,PRD,2018_FH_PRD_2,2018,2018,FH,FH,PRD,PRD,2,2
I want to know the Current Assets  for June 2013.,2013_M_FTP_6,FTP,2013_M_PRD_0,2013,2013,M,M,FTP,PRD,6,0
Please give me the Amortization to date for Q3 2011.,2011_FQ_PRD_3,PRD,2011_FQ_PRD_3,2011,2011,FQ,FQ,PRD,PRD,3,3
What was the Investing Cash Flow year to date for Q2 2019?,2019_FQ_PRD_2,PRD,2019_FQ_PRD_2,2019,2019,FQ,FQ,PRD,PRD,2,2
What was the Current Liabilities  for January 2023?,2023_M_FTP_1,FTP,2023_M_PRD_0,2023,2023,M,M,FTP,PRD,1,0
What was the EPS as of for FY 2018?,2018_FY_PRD_1,PRD,2018_FY_PRD_1,2018,2018,FY,FY,PRD,PRD,1,1
Please give me the EBITDA for the period for July 2019.,2019_M_FTP_7,FTP,2019_M_FTP_0,2019,2019,M,M,FTP,FTP,7,0
I want to know the Working Capital for the period for Q3 2020.,2020_FQ_FTP_3,FTP,2020_FQ_FTP_3,2020,2020,FQ,FQ,FTP,FTP,3,3
Could you tell me the Amortization for the period for Second half 2014?,2014_FH_FTP_2,FTP,2014_FH_FTP_2,2014,2014,FH,FH,FTP,FTP,2,2
Please give me the Operating Expenses to date for FY 2011.,2011_FY_PRD_1,PRD,2011_FY_PRD_1,2011,2011,FY,FY,PRD,PRD,1,1
What was the Revenue so far for FY 2024?,2024_FY_PRD_1,PRD,2024_FY_PRD_1,2024,2024,FY,FY,PRD,PRD,1,1
Can you share the Operating Expenses as of for September 2022?,2022_M_PRD_9,PRD,2022_M_PRD_0,2022,2022,M,M,PRD,PRD,9,0
What was the EPS for the period for FY 2015?,2015_FY_FTP_1,FTP,2015_FY_FTP_1,2015,2015,FY,FY,FTP,FTP,1,1
Can you share the Revenue for the period for Q2 2013?,2013_FQ_FTP_2,FTP,2013_FQ_FTP_2,2013,2013,FQ,FQ,FTP,FTP,2,2
Please give me the EPS  for FY 2010.,2010_FY_FTP_1,FTP,2010_FY_PRD_1,2010,2010,FY,FY,FTP,PRD,1,1
Please give me the Operating Expenses so far for FY 2013.,2013_FY_PRD_1,PRD,2013_FY_PRD_1,2013,2013,FY,FY,PRD,PRD,1,1
Could you tell me the Working Capital year to date for Second half 2021?,2021_FH_PRD_2,PRD,2021_FH_PRD_2,2021,2021,FH,FH,PRD,PRD,2,2
Can you share the Non-Current Assets up to for November 2015?,2015_M_PRD_11,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,11,0
Could you tell me the Free Cash Flow as of for March 2017?,2017_M_PRD_3,PRD,2017_M_PRD_0,2017,2017,M,M,PRD,PRD,3,0
Please give me the Current Assets as of for First half 2017.,2017_FH_PRD_1,PRD,2017_FH_PRD_1,2017,2017,FH,FH,PRD,PRD,1,1
Can you share the Equity for the period for December 2025?,2025_M_FTP_12,FTP,2025_M_PRD_0,2025,2025,M,M,FTP,PRD,12,0
Can you share the Equity cumulative through for First half 2012?,2012_FH_PRD_1,PRD,2012_FH_PRD_1,2012,2012,FH,FH,PRD,PRD,1,1
What was the Non-Current Assets for the period for Q2 2016?,2016_FQ_FTP_2,FTP,2016_FQ_PRD_2,2016,2016,FQ,FQ,FTP,PRD,2,2
Can you share the Working Capital so far for FY 2016?,2016_FY_PRD_1,PRD,2016_FY_PRD_1,2016,2016,FY,FY,PRD,PRD,1,1
Please give me the EBITDA for the period for Q3 2024.,2024_FQ_FTP_3,FTP,2024_FQ_FTP_3,2024,2024,FQ,FQ,FTP,FTP,3,3
I want to know the EBITDA  for December 2021.,2021_M_FTP_12,FTP,2021_M_PRD_0,2021,2021,M,M,FTP,PRD,12,0
Could you tell me the Financing Cash Flow cumulative through for First half 2023?,2023_FH_PRD_1,PRD,2023_FH_PRD_1,2023,2023,FH,FH,PRD,PRD,1,1
Can you share the Non-Current Assets  for FY 2014?,2014_FY_FTP_1,FTP,2014_FY_PRD_1,2014,2014,FY,FY,FTP,PRD,1,1
I want to know the Revenue  for November 2025.,2025_M_FTP_11,FTP,2025_M_PRD_0,2025,2025,M,M,FTP,PRD,11,0
Please give me the EBITDA cumulative through for FY 2011.,2011_FY_PRD_1,PRD,2011_FY_FTP_1,2011,2011,FY,FY,PRD,FTP,1,1
I want to know the Free Cash Flow as of for FY 2010.,2010_FY_PRD_1,PRD,2010_FY_FTP_1,2010,2010,FY,FY,PRD,FTP,1,1
What was the Operating Cash Flow  for FY 2017?,2017_FY_FTP_1,FTP,2017_FY_PRD_1,2017,2017,FY,FY,FTP,PRD,1,1
Could you tell me the Working Capital  for First half 2013?,2013_FH_FTP_1,FTP,2013_FH_FTP_1,2013,2013,FH,FH,FTP,FTP,1,1
I want to know the Working Capital  for First half 2024.,2024_FH_FTP_1,FTP,2024_FH_PRD_1,2024,2024,FH,FH,FTP,PRD,1,1
What was the EPS for the period for October 2014?,2014_M_FTP_10,FTP,2014_M_PRD_0,2014,2014,M,M,FTP,PRD,10,0
I want to know the Free Cash Flow for the period for FY 2017.,2017_FY_FTP_1,FTP,2017_FY_FTP_1,2017,2017,FY,FY,FTP,FTP,1,1
Can you share the Current Liabilities  for FY 2022?,2022_FY_FTP_1,FTP,2022_FY_PRD_1,2022,2022,FY,FY,FTP,PRD,1,1
Please give me the Free Cash Flow cumulative through for Second half 2022.,2022_FH_PRD_2,PRD,2022_FH_PRD_2,2022,2022,FH,FH,PRD,PRD,2,2
Could you tell me the Current Assets for the period for July 2025?,2025_M_FTP_7,FTP,2025_M_PRD_0,2025,2025,M,M,FTP,PRD,7,0
Could you tell me the Net Worth year to date for First half 2023?,2023_FH_PRD_1,PRD,2023_FH_PRD_1,2023,2023,FH,FH,PRD,PRD,1,1
Could you tell me the EPS up to for Q4 2020?,2020_FQ_PRD_4,PRD,2020_FQ_PRD_4,2020,2020,FQ,FQ,PRD,PRD,4,4
Please give me the Operating Cash Flow for the period for Second half 2011.,2011_FH_FTP_2,FTP,2011_FH_FTP_2,2011,2011,FH,FH,FTP,FTP,2,2
Could you tell me the Working Capital for the period for February 2013?,2013_M_FTP_2,FTP,2013_M_FTP_0,2013,2013,M,M,FTP,FTP,2,0
Could you tell me the Equity for the period for FY 2017?,2017_FY_FTP_1,FTP,2017_FY_FTP_1,2017,2017,FY,FY,FTP,FTP,1,1
Can you share the Assets for the period for February 2014?,2014_M_FTP_2,FTP,2014_M_FTP_0,2014,2014,M,M,FTP,FTP,2,0
